Skor M2 (Skills),Skor M5 (Compass),Skor M8 (Ambisi),Skor M9 (Resiliensi),Semester,IPK,Ekspektasi Gaji,Minat Wirausaha,Rencana S2/Sertifikasi,Frekuensi Belajar,Level Bahasa Inggris,Motivasi,Cognitive Style,Work Style,Kultur Kerja,Ukuran Perusahaan,PCA1,PCA2,Cluster
8,8,5,7,3,4,2,3,2,1,1,money,analytical,small,collab,flex,-1.7951120095483655,0.08236433684886676,0
6,7,5,5,3,4,1,4,2,2,2,money,social,small,formal,startup,-2.175607033423521,0.45923100128337985,0
6,10,6,6,3,4,2,5,2,2,1,growth,creative,flex,collab,flex,-0.3961751002949032,-1.4384711344307686,2
9,10,8,7,3,2,3,4,2,2,2,growth,social,flex,collab,flex,1.2027571050004273,-1.332584320536563,2
9,8,5,6,3,3,2,2,2,2,2,money,analytical,solo,formal,flex,-1.4253879523538706,0.9881049588390564,0
9,7,6,7,3,4,1,4,2,2,2,money,analytical,small,formal,flex,-0.8003693046703828,0.9008701624988267,2
9,7,5,5,3,3,2,3,2,1,2,money,analytical,small,collab,flex,-2.1417520276820454,0.6473060654046897,0
6,9,7,9,3,4,3,5,2,2,2,money,analytical,solo,result,startup,0.9689659642014663,-1.0133957660627178,2
8,8,5,8,3,4,1,3,3,4,2,impact,analytical,small,formal,flex,0.39630368518617676,1.1527663312896574,2
9,8,7,6,3,4,3,3,3,3,3,growth,analytical,flex,formal,big,1.2055191109563013,1.1034464771605768,1
10,8,6,7,3,4,2,5,2,2,2,growth,social,small,collab,startup,0.2771816308311132,0.11678813807304736,2
8,9,6,5,3,4,1,5,2,2,2,money,strategic,flex,collab,flex,-0.5552606678708527,0.11583109291427565,2
9,8,5,5,3,4,2,4,1,2,2,growth,analytical,flex,formal,mid,-1.378087318576359,0.5675968817242941,0
12,8,7,7,3,3,2,4,3,2,4,money,creative,small,agile,flex,1.6711874321469884,1.843420583525467,1
8,9,5,5,3,4,1,3,2,2,2,money,analytical,small,formal,mid,-1.535686522364086,0.8995920862088652,0
9,8,8,5,3,4,3,4,3,2,2,money,analytical,small,agile,big,0.6413944725832064,-0.18167714043539168,2
9,9,5,7,5,3,2,3,2,1,2,money,analytical,flex,collab,flex,-0.927376143154804,1.320813872311226,2
7,9,7,7,3,4,3,5,2,2,1,money,social,small,collab,flex,0.18146412783703936,-1.4776172008380302,2
7,8,5,5,3,4,2,3,2,2,1,money,analytical,small,formal,big,-2.0023199341376725,-0.11540695014694538,0
9,9,7,8,3,4,3,4,2,2,2,prestige,analytical,small,collab,flex,0.9170032381800328,-0.1262664908475839,2
6,8,5,6,3,4,2,2,2,2,1,impact,creative,small,collab,mid,-2.1912420444688854,0.026217896938403006,0
6,8,6,8,3,4,2,4,2,2,1,money,analytical,flex,collab,flex,-0.7346906705082306,-0.6893835189089834,2
7,8,5,6,3,4,2,2,1,2,1,money,social,flex,agile,flex,-2.410657215584215,0.4396065229973077,0
11,8,5,7,3,4,2,3,2,1,1,impact,analytical,flex,formal,mid,-1.1472189966057562,0.505159234152276,2
9,9,7,8,3,4,2,3,3,2,2,growth,social,flex,collab,flex,0.8722325615080124,0.5191300320761761,2
10,9,7,7,3,4,3,5,1,2,2,impact,analytical,small,collab,flex,0.6835068768549086,-0.33769743093161947,2
11,10,5,7,3,4,1,4,2,2,2,growth,strategic,flex,collab,flex,0.24449812918099695,0.940844351890582,2
9,9,6,6,3,4,2,3,3,2,2,money,strategic,flex,collab,mid,0.040119702518675984,0.7200694495131409,2
9,7,6,7,3,4,1,4,2,2,2,money,analytical,small,formal,flex,-0.8003693046703828,0.9008701624988267,2
12,10,8,7,3,4,3,3,3,2,1,growth,creative,solo,formal,flex,1.5845326662906276,-0.2299750389813309,1
9,8,8,7,3,4,3,4,2,4,4,growth,strategic,flex,collab,mid,2.4038125998625017,1.3997166766916884,1
6,7,5,5,3,4,1,4,2,2,2,money,social,small,collab,flex,-2.1793835937048227,0.5370385279863662,0
9,9,7,6,5,3,2,4,3,2,4,money,analytical,flex,formal,big,1.2967914559274576,2.011828313465346,2
10,8,5,6,3,4,2,3,2,2,2,money,analytical,small,formal,mid,-0.9188557744426045,1.157869213775684,2
9,8,5,5,3,4,2,2,2,2,2,growth,analytical,big,formal,mid,-1.5331210513329223,1.2452432919211915,0
9,8,7,9,3,4,2,4,3,4,2,growth,social,flex,formal,mid,2.0749283754194563,0.37022588431000464,1
10,9,5,6,3,4,2,2,2,2,2,money,analytical,flex,formal,big,-0.7910050938299713,1.4075429135039044,2
11,7,5,7,3,4,2,3,2,2,2,money,analytical,small,formal,mid,-0.7502840248811602,1.4799824722333503,2
7,8,5,7,3,3,2,3,2,2,2,money,analytical,flex,collab,flex,-1.1296026678536073,0.27460278190879933,0
10,7,7,9,3,4,4,5,2,3,2,money,social,small,collab,mid,1.7797825743635367,-0.18745027040973627,1
9,9,5,7,3,4,1,4,2,2,1,growth,analytical,big,formal,mid,-0.7588366290947444,-0.12592820992468892,2
9,8,7,7,3,4,3,3,2,3,2,money,analytical,small,collab,flex,0.5358429460787324,0.536617358964735,2
8,9,5,6,3,4,1,5,2,2,1,prestige,analytical,small,collab,mid,-0.9720043942297216,-0.661329667501582,2
6,6,5,5,3,3,3,3,1,1,1,money,social,small,result,flex,-3.468139331092783,-0.6496768924367248,0
7,8,6,5,3,4,2,5,2,1,1,money,creative,big,result,mid,-1.5473380008371331,-1.070773958757059,0
7,8,7,6,3,2,2,4,2,2,2,money,analytical,flex,collab,big,-0.4948247400738,-1.0091835808352665,2
9,9,8,7,3,4,2,5,3,4,3,money,analytical,solo,result,flex,2.6900556367090247,0.5141307722114733,1
10,8,6,7,3,4,3,2,3,2,4,freedom,social,flex,formal,big,0.8629372709442471,2.5204635138302147,2
13,9,8,9,3,4,3,5,2,3,3,prestige,strategic,flex,collab,flex,3.3764927369498308,0.8945888384977302,1
8,9,6,5,3,3,2,3,2,2,3,money,analytical,solo,collab,mid,-0.6373397548018898,0.7471974334607728,2
8,8,8,7,3,3,3,5,2,2,1,money,social,small,formal,flex,0.31122669445553897,-1.7729702618334109,2
9,9,5,8,3,4,1,4,1,3,2,freedom,creative,flex,collab,mid,-0.10435284599994649,0.7700056264870755,2
9,10,7,9,3,4,3,4,2,4,2,growth,social,solo,result,big,2.4748128960326,-0.21694502907345098,1
6,8,6,7,3,3,3,5,1,2,1,money,social,small,formal,flex,-1.092716603961165,-1.7772542975283956,0
9,10,8,7,2,4,3,3,3,4,2,money,strategic,flex,result,startup,2.423534403303173,-0.32905959782351885,1
8,7,5,6,3,3,1,2,3,2,1,growth,analytical,small,formal,mid,-1.9955654308852642,0.2732064643177647,0
9,8,6,7,3,4,5,4,2,3,1,money,social,solo,collab,big,0.761428837940404,-0.9327812016214639,2
10,8,5,5,3,4,2,4,1,2,2,growth,analytical,flex,formal,mid,-1.1995706637146082,0.7421623137223367,0
9,8,5,7,3,4,2,4,1,3,2,money,analytical,flex,agile,startup,-0.3480280774165165,0.7104527582654353,2
6,8,8,9,3,3,2,1,3,4,2,impact,creative,small,collab,startup,0.9172202291633271,0.25829686113835904,1
9,8,6,10,1,4,1,5,4,4,2,money,analytical,flex,formal,flex,2.4251724321850237,-0.3623409139354145,1
6,8,7,6,5,3,2,4,3,2,1,money,analytical,flex,formal,big,-0.49920312778697423,-0.5157023948707932,2
10,7,7,7,3,4,2,3,2,2,2,money,creative,flex,collab,mid,-0.21346293894795726,1.0255820796287636,2
9,9,6,9,3,3,2,5,2,4,1,growth,social,small,collab,mid,1.4504829034223818,-1.2258295813555602,1
9,8,8,7,3,3,4,2,3,2,2,growth,strategic,flex,formal,flex,0.8520442504008878,-0.041017989963570374,2
11,8,7,7,3,4,2,5,3,3,2,money,strategic,small,formal,startup,1.6332445081977296,0.31174214502025127,1
9,9,5,7,3,4,2,3,2,3,2,money,social,flex,formal,flex,-0.042882634983047965,1.0477910653760993,2
9,9,5,6,3,4,2,3,2,2,2,money,analytical,small,formal,flex,-0.8338353938026286,0.9119112538541724,2
6,8,3,5,3,2,2,3,1,2,1,money,analytical,small,formal,mid,-3.3714674794870705,-0.8489464351721072,0
11,10,9,7,3,3,2,4,3,2,2,impact,strategic,flex,collab,big,2.1675807424315052,-0.5443120594958798,1
10,9,5,7,3,4,2,3,2,2,3,prestige,social,big,formal,big,0.052448849234774275,1.6275679449405114,2
7,8,5,7,3,4,2,3,2,2,2,money,analytical,solo,formal,startup,-1.1518559169028355,0.6361486719876486,0
11,9,6,7,3,4,2,4,1,2,2,money,analytical,flex,formal,mid,0.03992650360503365,0.7085120777683541,2
6,9,7,7,2,3,3,4,2,2,1,growth,analytical,small,formal,big,-0.23776947830482026,-2.4010936997133787,2
12,9,8,9,4,4,5,4,3,4,3,money,analytical,small,collab,big,4.32252387608855,1.021715549750634,1
6,8,5,8,3,4,1,5,2,2,1,money,analytical,solo,result,startup,-1.0467477651555535,-0.7763720786801939,2
8,9,6,7,3,3,2,4,2,2,1,growth,analytical,small,collab,flex,-0.46072656503780823,-1.105412249837292,2
8,10,8,7,3,3,3,5,2,2,1,impact,analytical,small,formal,big,0.9945564198287018,-2.2809844353645663,2
8,9,5,6,3,4,2,4,1,2,2,money,analytical,small,formal,mid,-1.1560022229302644,0.29899541056920914,0
9,9,5,8,3,4,2,4,2,3,2,money,social,flex,result,flex,0.5550353488365298,0.6637492981660554,2
9,8,8,9,3,4,3,5,2,2,1,money,analytical,flex,result,flex,1.2476899243713269,-1.1027026269379314,2
6,8,5,5,3,3,2,3,2,2,1,money,analytical,small,collab,flex,-2.257927911128486,-0.6708916456047886,0
9,8,5,7,3,4,1,4,2,2,1,growth,analytical,flex,collab,flex,-0.9901559391405634,0.13749036458263528,2
8,9,8,10,3,3,4,4,3,4,1,impact,analytical,small,collab,big,2.914042180835955,-1.8872622731857536,1
7,8,5,5,3,4,2,2,2,2,2,money,strategic,small,collab,flex,-1.986324500457625,1.0922087490843526,0
7,8,5,5,3,3,5,5,1,1,1,money,social,solo,formal,flex,-1.6651867656229047,-1.9621438505958215,0
11,9,8,7,3,3,2,4,3,2,2,prestige,social,flex,collab,big,1.543004682287192,-0.2252687210634175,1
9,7,7,7,3,3,2,5,2,3,1,impact,analytical,flex,formal,startup,0.31524702466188925,-1.1383861056703606,2
6,7,5,5,4,4,1,3,2,2,2,money,creative,solo,formal,flex,-2.4285273233922733,1.4144960767589163,0
6,7,5,5,4,4,1,3,2,2,2,money,creative,solo,formal,flex,-2.4285273233922733,1.4144960767589163,0
9,9,4,6,3,3,1,4,1,3,2,money,social,small,formal,flex,-1.1770502864559274,0.5686710817757172,0
8,10,7,6,3,3,2,4,2,2,2,growth,analytical,big,formal,flex,0.2184590127052894,-0.6965747135298992,2
10,9,6,7,3,4,2,5,2,2,1,money,social,flex,collab,flex,0.2347871842362984,-0.49852942829893,2
6,8,4,6,3,4,2,2,2,2,1,money,analytical,small,collab,mid,-2.520629782600971,0.2669974255560286,0
9,9,5,7,3,4,1,4,2,3,2,growth,analytical,flex,collab,flex,0.0862970454047342,0.7758743810629746,2
10,9,8,7,3,3,3,5,2,2,2,impact,analytical,flex,formal,flex,1.4400134926773007,-0.9143547564670009,2
6,8,5,5,3,4,2,4,2,2,1,money,analytical,solo,collab,startup,-1.8758744579729631,-0.6534916175602645,0
8,8,4,5,3,4,1,2,3,2,1,freedom,analytical,solo,collab,flex,-2.221542609708282,0.8703446449050648,0
11,9,5,7,3,4,1,4,2,2,2,impact,strategic,small,formal,flex,-0.15988660650116682,1.0585634026143231,2
9,8,6,7,3,4,2,5,2,2,2,freedom,analytical,small,formal,flex,0.060857227267957906,0.07421379498570627,2
9,7,6,7,3,4,2,3,2,2,2,money,social,flex,collab,flex,-0.73281978294308,1.086080122455522,2
6,9,4,5,3,3,1,5,2,2,2,impact,social,small,formal,startup,-1.656704949083674,-0.6042988695404621,0
6,9,6,7,4,3,2,4,2,4,1,impact,strategic,flex,collab,flex,0.2318365834516941,-0.7815707176871415,2
10,9,5,7,3,4,1,4,2,3,1,growth,analytical,flex,formal,mid,-0.08124818786120264,0.1785474504201414,2
9,7,6,7,3,4,2,4,2,2,1,money,strategic,solo,formal,startup,-0.8107799420958226,-0.0993857831009071,2
9,8,2,5,2,3,1,1,2,3,4,prestige,analytical,small,collab,flex,-2.004540643663973,3.0284083736661143,0
6,6,6,6,3,3,2,3,3,1,1,freedom,analytical,solo,formal,flex,-2.2526402363493676,-0.6494776997531105,0
9,8,5,5,3,4,1,3,2,2,2,money,social,small,collab,flex,-1.652995983091107,1.2911134876797705,0
9,8,5,6,3,4,1,4,2,2,2,money,analytical,flex,formal,big,-0.946113120227488,0.865127982094674,2
6,10,6,7,3,2,2,5,3,2,1,growth,analytical,big,formal,flex,0.1675861215630271,-2.4484299485792698,2
11,10,6,10,5,4,2,3,3,4,2,money,analytical,small,result,flex,2.6391453840839096,1.980185345927193,1
11,10,8,7,3,2,3,4,2,3,2,money,analytical,solo,formal,flex,1.9198519010675121,-0.8416963018554163,1
